NOME_PROVINCIA,NOME_COMUNE,DECESSI_HIGH,DECESSI_LOW,AVG
Como,Ponna,1,0,1
Como,Ponte Lambro,10,10,10
Como,Porlezza,16,16,16
Como,Proserpio,2,0,2
Como,Pusiano,1,0,1
Como,Rezzago,0,0,0
Como,Rodero,1,0,1
Como,Ronago,1,0,1
Como,Rovellasca,17,7,17
Como,Rovello Porro,14,0,14
Como,Sala Comacina,16,16,16
Como,San Bartolomeo Val Cavargna,2,0,2
Como,San Fermo della Battaglia,14,0,14
Como,San Nazzaro Val Cavargna,0,0,0
Como,San Siro,4,0,4
Como,Schignano,4,0,4
Como,Senna Comasco,3,0,3
Como,Solbiate con Cagno,7,0,7
Como,Sorico,3,1,3
Como,Sormano,2,0,2
Como,Stazzona,1,0,1
Como,Tavernerio,11,2,11
Como,Torno,2,0,2
Como,Tremezzina,7,0,7
Como,Trezzone,0,0,0
Como,Turate,16,2,16
Como,Uggiate-Trevano,11,3,11
Como,Valbrona,4,0,4
Como,Valmorea,3,0,3
Como,Valsolda,4,0,4
Como,Veleso,1,0,1
Como,Veniano,6,0,6
Como,Vercana,1,0,1
Como,Vertemate con Minoprio,10,10,10
Como,Villa Guardia,16,1,16
Como,Zelbio,1,0,1
Cremona,Acquanegra Cremonese,38,38,38
Cremona,Agnadello,20,20,20
Cremona,Annicco,20,20,20
Cremona,Azzanello,2,0,2
Cremona,Bagnolo Cremasco,36,36,36
Cremona,Bonemerse,3,0,3
Cremona,Bordolano,1,0,1
Cremona,Calvatone,3,0,3
Cremona,Camisano,2,0,2
Cremona,Campagnola Cremasca,0,0,0
Cremona,Capergnanica,18,18,18
Cremona,Cappella Cantone,0,0,0
Cremona,Cappella de' Picenardi,2,0,2
Cremona,Capralba,20,20,20
Cremona,Casalbuttano ed Uniti,132,132,132
Cremona,Casale Cremasco-Vidolasco,3,0,3
Cremona,Casaletto Ceredano,2,0,2
Cremona,Casaletto di Sopra,1,0,1
Cremona,Casaletto Vaprio,2,0,2
Cremona,Casalmaggiore,122,122,122
Cremona,Casalmorano,54,54,54
Cremona,Castel Gabbiano,2,0,2
Cremona,Casteldidone,1,0,1
Cremona,Castelleone,114,114,114
Cremona,Castelverde,88,88,88
Cremona,Castelvisconti,1,0,1
Cremona,Cella Dati,1,0,1
Cremona,Chieve,2,0,2
Cremona,Cicognolo,2,0,2
Cremona,Cingia de' Botti,52,52,52
Cremona,Corte de' Cortesi con Cignone,1,0,1
Cremona,Corte de' Frati,3,0,3
Cremona,Credera Rubbiano,3,0,3
Cremona,Crema,322,322,322
Cremona,Cremona,728,728,728
Cremona,Cremosano,4,0,4
Cremona,Crotta d'Adda,2,0,2
Cremona,Cumignano sul Naviglio,0,0,0
Cremona,Derovere,0,0,0
Cremona,Dovera,24,24,24
Cremona,Fiesco,2,0,2
Cremona,Formigara,2,0,2
Cremona,Gabbioneta-Binanuova,1,0,1
Cremona,Gadesco-Pieve Delmona,3,0,3
Cremona,Genivolta,3,0,3
Cremona,Gerre de' Caprioli,3,0,3
Cremona,Gombito,3,0,3
Cremona,Grontardo,2,0,2
Cremona,Grumello Cremonese ed Uniti,2,0,2
Cremona,Gussola,22,22,22
Cremona,Isola Dovarese,16,16,16
Cremona,Izano,4,0,4
Cremona,Madignano,28,28,28
Cremona,Malagnino,10,10,10
Cremona,Martignana di Po,8,8,8
Cremona,Monte Cremasco,16,16,16
Cremona,Montodine,4,0,4
Cremona,Moscazzano,3,0,3
Cremona,Motta Baluffi,10,10,10
Cremona,Offanengo,70,70,70
Cremona,Olmeneta,1,0,1
Cremona,Ostiano,28,28,28
Cremona,Paderno Ponchielli,14,14,14
Cremona,Palazzo Pignano,18,18,18
Cremona,Pandino,94,94,94
Cremona,Persico Dosimo,3,0,3
Cremona,Pescarolo ed Uniti,4,0,4
Cremona,Pessina Cremonese,1,0,1
Cremona,Piadena Drizzona,56,56,56
Cremona,Pianengo,14,14,14
Cremona,Pieranica,3,0,3
Cremona,Pieve d'Olmi,3,0,3
Cremona,Pieve San Giacomo,2,0,2
Cremona,Pizzighettone,90,90,90
Cremona,Pozzaglio ed Uniti,3,0,3
Cremona,Quintano,1,0,1
Cremona,Ricengo,3,0,3
Cremona,Ripalta Arpina,2,0,2
Cremona,Ripalta Cremasca,24,24,24
Cremona,Ripalta Guerina,1,0,1
Cremona,Rivarolo del Re ed Uniti,6,6,6
Cremona,Rivolta d'Adda,56,56,56
Cremona,Robecco d'Oglio,8,0,8
Cremona,Romanengo,42,42,42
Cremona,Salvirola,1,0,1
Cremona,San Bassano,18,18,18
Cremona,San Daniele Po,10,10,10
Cremona,San Giovanni in Croce,12,12,12
Cremona,San Martino del Lago,0,0,0
Cremona,Scandolara Ravara,22,22,22
Cremona,Scandolara Ripa d'Oglio,2,0,2
Cremona,Sergnano,6,0,6
Cremona,Sesto ed Uniti,20,20,20
Cremona,Solarolo Rainerio,12,12,12
Cremona,Soncino,66,66,66
Cremona,Soresina,98,98,98
Cremona,Sospiro,19,4,19
Cremona,Spinadesco,3,0,3
Cremona,Spineda,2,0,2
Cremona,Spino d'Adda,14,1,14
Cremona,Stagno Lombardo,42,42,42
Cremona,Ticengo,3,0,3
Cremona,Torlino Vimercati,0,0,0
Cremona,Tornata,1,0,1
Cremona,Torre de' Picenardi,8,0,8
Cremona,Torricella del Pizzo,3,0,3
Cremona,Trescore Cremasco,30,30,30
Cremona,Trigolo,5,1,5
Cremona,Vaiano Cremasco,48,48,48
Cremona,Vailate,66,66,66
Cremona,Vescovato,60,60,60
Cremona,Volongo,2,0,2
Cremona,Voltido,1,0,1
Lecco,Abbadia Lariana,7,0,7
Lecco,Airuno,3,0,3
Lecco,Annone di Brianza,5,0,5
Lecco,Ballabio,3,0,3
Lecco,Barzago,3,0,3
Lecco,Barzanò,16,16,16
Lecco,Barzio,3,0,3
Lecco,Bellano,7,0,7
Lecco,Bosisio Parini,4,0,4
Lecco,Brivio,56,56,56
Lecco,Bulciago,6,0,6
Lecco,Calco,16,16,16
Lecco,Calolziocorte,102,102,102
Lecco,Carenno,1,0,1
Lecco,Casargo,3,0,3
Lecco,Casatenovo,46,46,46
Lecco,Cassago Brianza,7,2,7
Lecco,Cassina Valsassina,0,0,0
Lecco,Castello di Brianza,6,0,6
Lecco,Cernusco Lombardone,18,18,18
Lecco,Cesana Brianza,3,0,3
Lecco,Civate,24,24,24
Lecco,Colico,30,30,30
Lecco,Colle Brianza,2,0,2
Lecco,Cortenova,2,0,2
Lecco,Costa Masnaga,34,34,34
Lecco,Crandola Valsassina,2,0,2
Lecco,Cremella,4,0,4
Lecco,Cremeno,3,0,3
