"","NOME_PROVINCIA","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"281","Bergamo",2015-04-04,"MASCHI",8,548863,0,145755862574085
"282","Bergamo",2015-04-04,"TOTALE",30,1108549,0,270624031955286
"283","Bergamo",2015-04-05,"FEMMINE",16,559683,0,285876112013408
"284","Bergamo",2015-04-05,"MASCHI",10,548862,0,182195160167765
"285","Bergamo",2015-04-05,"TOTALE",26,1108546,0,234541462420143
"286","Bergamo",2015-04-06,"FEMMINE",14,559681,0,25014249188377
"287","Bergamo",2015-04-06,"MASCHI",13,548862,0,236853708218095
"288","Bergamo",2015-04-06,"TOTALE",27,1108543,0,243562947039492
"289","Bergamo",2015-04-07,"FEMMINE",15,559678,0,268011249325505
"290","Bergamo",2015-04-07,"MASCHI",16,548861,0,291512787390614
"291","Bergamo",2015-04-07,"TOTALE",31,1108540,0,279647103397261
"292","Bergamo",2015-04-08,"FEMMINE",11,559676,0,196542285179282
"293","Bergamo",2015-04-08,"MASCHI",19,548861,0,346171435026355
"294","Bergamo",2015-04-08,"TOTALE",30,1108537,0,270626961481665
"295","Bergamo",2015-04-09,"FEMMINE",17,559674,0,303748253447543
"296","Bergamo",2015-04-09,"MASCHI",11,548860,0,200415406478884
"297","Bergamo",2015-04-09,"TOTALE",28,1108534,0,252585847614958
"298","Bergamo",2015-04-10,"FEMMINE",19,559671,0,339485161818283
"299","Bergamo",2015-04-10,"MASCHI",10,548860,0,182195824071712
"300","Bergamo",2015-04-10,"TOTALE",29,1108531,0,26160747872635
"301","Bergamo",2015-04-11,"FEMMINE",16,559669,0,285883263143036
"302","Bergamo",2015-04-11,"MASCHI",11,548859,0,20041577162805
"303","Bergamo",2015-04-11,"TOTALE",27,1108529,0,243566023081038
"304","Bergamo",2015-04-12,"FEMMINE",22,559666,0,393091593914942
"305","Bergamo",2015-04-12,"MASCHI",8,548859,0,1457569248204
"306","Bergamo",2015-04-12,"TOTALE",30,1108526,0,270629646936563
"307","Bergamo",2015-04-13,"FEMMINE",11,559664,0,196546499328168
"308","Bergamo",2015-04-13,"MASCHI",15,548858,0,273294731970747
"309","Bergamo",2015-04-13,"TOTALE",26,1108523,0,234546328763589
"310","Bergamo",2015-04-14,"FEMMINE",21,559662,0,375226475980145
"311","Bergamo",2015-04-14,"MASCHI",9,548858,0,163976839182448
"312","Bergamo",2015-04-14,"TOTALE",30,1108520,0,270631111752607
"313","Bergamo",2015-04-15,"FEMMINE",16,559659,0,285888371311817
"314","Bergamo",2015-04-15,"MASCHI",10,548857,0,182196819936705
"315","Bergamo",2015-04-15,"TOTALE",26,1108517,0,234547598277699
"316","Bergamo",2015-04-16,"FEMMINE",12,559657,0,214417044725609
"317","Bergamo",2015-04-16,"MASCHI",8,548857,0,145757455949364
"318","Bergamo",2015-04-16,"TOTALE",20,1108514,0,180421717723006
"319","Bergamo",2015-04-17,"FEMMINE",17,559655,0,303758565544845
"320","Bergamo",2015-04-17,"MASCHI",13,548856,0,236856297462358
"321","Bergamo",2015-04-17,"TOTALE",30,1108511,0,270633309006406
"322","Bergamo",2015-04-18,"FEMMINE",16,559652,0,285891947138579
